Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,SO2,PM10,CO
01/01/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/02/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/03/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/04/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/05/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
01/06/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
01/07/1980,13,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,,,
01/08/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
01/09/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/10/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/11/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
01/12/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
01/13/1980,8,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,8,.,,,
01/14/1980,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,,,
01/15/1980,5,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,5,.,,,
01/16/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/17/1980,8,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,8,.,,,
01/18/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
01/19/1980,7,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,,,
01/20/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
01/21/1980,3,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,3,.,,,
01/22/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
01/23/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
01/24/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
01/25/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
01/26/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
01/27/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
01/28/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
01/29/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
01/30/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
01/31/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
02/01/1980,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,,,
02/02/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
02/03/1980,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,,,
02/04/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
02/05/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
02/06/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
02/07/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
02/08/1980,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,,,
02/09/1980,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,,,
02/10/1980,34,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,34,.,,,
02/11/1980,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,,,
02/12/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
02/13/1980,20,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,,,
02/14/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
02/15/1980,28,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,,,
02/16/1980,30,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,30,.,,,
02/17/1980,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,,,
02/18/1980,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,,,
02/19/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
02/21/1980,8,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,8,.,,,
02/22/1980,7,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,,,
02/23/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
02/24/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
02/25/1980,28,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,,,
02/26/1980,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,,,
02/27/1980,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,,,
02/28/1980,35,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,35,.,,,
02/29/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
03/01/1980,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,,,
03/02/1980,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,,,
03/03/1980,30,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,30,.,,,
03/04/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
03/05/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
03/06/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
03/07/1980,4,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,4,.,,,
03/09/1980,32,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,32,.,,,
03/10/1980,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,,,
03/11/1980,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,,,
03/12/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
03/13/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
03/14/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
03/15/1980,32,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,32,.,,,
03/16/1980,27,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,27,.,,,
05/09/1980,46,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,46,.,,,
05/10/1980,47,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,47,.,,,
05/11/1980,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,,,
05/12/1980,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,,,
05/13/1980,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,,,
05/14/1980,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,,,
05/15/1980,74,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,74,.,,,
05/16/1980,36,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,36,.,,,
05/17/1980,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,,,
05/18/1980,35,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,35,.,,,
05/19/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
05/20/1980,58,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,58,.,,,
05/21/1980,87,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,87,.,,,
05/22/1980,133,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,133,.,,,
05/23/1980,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,,,
05/24/1980,47,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,47,.,,,
05/25/1980,115,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,115,.,,,
05/26/1980,47,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,47,.,,,
05/27/1980,74,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,74,.,,,
05/28/1980,122,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,122,.,,,
05/29/1980,64,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,64,.,,,
05/30/1980,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,,,
05/31/1980,47,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,47,.,,,
06/01/1980,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,,,
06/02/1980,30,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,30,.,,,
06/03/1980,77,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,77,.,,,
06/04/1980,36,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,36,.,,,
06/05/1980,93,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,93,.,,,
06/06/1980,80,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,80,.,,,
06/07/1980,42,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,42,.,,,
06/08/1980,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,,,
06/09/1980,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,,,
06/10/1980,38,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,,,
06/11/1980,46,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,46,.,,,
06/12/1980,51,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,51,.,,,
06/13/1980,64,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,64,.,,,
06/14/1980,129,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,129,.,,,
06/15/1980,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,,,
06/17/1980,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,,,
06/18/1980,112,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,112,.,,,
06/19/1980,42,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,42,.,,,
06/20/1980,38,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,,,
06/21/1980,84,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,84,.,,,
06/22/1980,100,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,100,.,,,
06/23/1980,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,,,
06/24/1980,48,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,48,.,,,
06/25/1980,80,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,80,.,,,
06/26/1980,84,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,84,.,,,
06/27/1980,115,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,115,.,,,
06/28/1980,51,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,51,.,,,
06/29/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
06/30/1980,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,,,
07/01/1980,108,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,108,.,,,
07/02/1980,61,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,61,.,,,
07/03/1980,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,,,
07/04/1980,47,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,47,.,,,
07/05/1980,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,,,
07/06/1980,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,,,
07/07/1980,90,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,90,.,,,
07/08/1980,71,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,71,.,,,
07/09/1980,38,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,,,
07/17/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
07/18/1980,80,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,80,.,,,
07/19/1980,129,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,129,.,,,
07/20/1980,87,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,87,.,,,
07/21/1980,42,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,42,.,,,
07/22/1980,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,,,
07/23/1980,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,,,
07/24/1980,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,,,
07/25/1980,84,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,84,.,,,
07/26/1980,90,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,90,.,,,
07/27/1980,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,,,
07/28/1980,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,,,
07/29/1980,115,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,115,.,,,
07/30/1980,46,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,46,.,,,
07/31/1980,54,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,54,.,,,
08/01/1980,77,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,77,.,,,
08/02/1980,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,,,
08/03/1980,54,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,54,.,,,
08/04/1980,58,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,58,.,,,
08/05/1980,34,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,34,.,,,
08/06/1980,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,,,
08/07/1980,58,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,58,.,,,
08/08/1980,97,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,97,.,,,
08/09/1980,101,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,101,.,,,
08/10/1980,112,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,112,.,,,
08/11/1980,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,,,
08/12/1980,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,,,
08/13/1980,74,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,74,.,,,
08/14/1980,28,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,,,
08/15/1980,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,,,
08/16/1980,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,,,
08/17/1980,42,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,42,.,,,
08/18/1980,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,,,
08/19/1980,45,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,45,.,,,
08/20/1980,67,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,67,.,,,
08/21/1980,34,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,34,.,,,
08/22/1980,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,,,
08/23/1980,45,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,45,.,,,
08/24/1980,50,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,50,.,,,
08/25/1980,122,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,122,.,,,
08/28/1980,71,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,71,.,,,
08/29/1980,38,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,,,
08/30/1980,48,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,48,.,,,
08/31/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
09/01/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
09/02/1980,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,,,
09/03/1980,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,,,
09/04/1980,34,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,34,.,,,
09/05/1980,20,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,,,
09/06/1980,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,,,
09/07/1980,30,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,30,.,,,
09/08/1980,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,,,
09/09/1980,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,,,
09/10/1980,27,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,27,.,,,
09/11/1980,42,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,42,.,,,
09/12/1980,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,,,
09/13/1980,46,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,46,.,,,
09/14/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
09/15/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
09/16/1980,27,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,27,.,,,
09/17/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
09/18/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
09/19/1980,49,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,49,.,,,
09/20/1980,51,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,51,.,,,
09/21/1980,49,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,49,.,,,
09/22/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
09/23/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
09/24/1980,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,,,
09/25/1980,28,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,,,
09/27/1980,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,,,
09/28/1980,35,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,35,.,,,
10/01/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
10/02/1980,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,,,
10/03/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
10/04/1980,20,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,,,
10/05/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
10/06/1980,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,,,
10/07/1980,36,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,36,.,,,
10/08/1980,51,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,51,.,,,
10/09/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
10/10/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
10/11/1980,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,,,
10/12/1980,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,,,
10/13/1980,28,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,,,
10/14/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
10/15/1980,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,,,
10/16/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
10/17/1980,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,,,
10/18/1980,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,,,
10/19/1980,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,,,
10/20/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
10/21/1980,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,,,
10/22/1980,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,,,
10/23/1980,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,,,
10/24/1980,14,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,14,.,,,
10/25/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
10/26/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
10/28/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
10/29/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
10/30/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
10/31/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
11/01/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
11/02/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
11/03/1980,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,,,
11/04/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
11/05/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
11/06/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
11/07/1980,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,,,
11/08/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
11/09/1980,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,,,
11/10/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
11/11/1980,20,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,,,
11/12/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
11/13/1980,20,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,,,
11/14/1980,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,,,
11/15/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
11/16/1980,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,,,
11/17/1980,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,,,
11/18/1980,12,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,,,
11/19/1980,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,,,
11/20/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
11/21/1980,9,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,9,.,,,
12/01/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
12/02/1980,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,,,
12/03/1980,13,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,,,
12/04/1980,5,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,5,.,,,
12/05/1980,12,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,,,
12/06/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
12/07/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
12/08/1980,11,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,11,.,,,
12/09/1980,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,,,
12/10/1980,12,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,,,
12/11/1980,7,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,,,
12/13/1980,13,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,,,
12/14/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
12/15/1980,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,,,
12/16/1980,7,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,,,
12/17/1980,12,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,,,
12/18/1980,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,,,
12/19/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
12/20/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
12/21/1980,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,,,
12/22/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
12/23/1980,8,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,8,.,,,
12/26/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
12/27/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
12/28/1980,11,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,11,.,,,
12/29/1980,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,,,
12/30/1980,11,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,11,.,,,
