Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,SO2,PM10,CO
07/21/1991,64,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,64,.,36,.,
07/22/1991,13,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,13,.,
07/23/1991,26,PM10,,17-019-0005,AQS,.,.,7,26,
07/24/1991,27,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,27,.,
07/25/1991,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,6,.,
07/26/1991,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,4,.,
07/27/1991,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,10,.,
07/28/1991,90,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,90,.,20,.,
07/29/1991,44,PM10,,17-019-0005,AQS,39,.,13,44,
07/30/1991,46,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,46,.,13,.,
07/31/1991,51,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,51,.,11,.,
08/01/1991,93,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,93,.,72,.,
08/02/1991,159,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,84,.,159,.,
08/03/1991,56,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,50,.,56,.,
08/04/1991,42,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,42,.,10,.,
08/05/1991,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,13,.,
08/06/1991,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,6,.,
08/07/1991,57,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,57,.,
08/08/1991,32,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,32,.,17,.,
08/09/1991,38,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,6,.,
08/10/1991,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,9,31,
08/11/1991,45,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,45,.,10,.,
08/12/1991,50,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,50,.,9,.,
08/13/1991,61,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,61,.,10,.,
08/14/1991,48,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,48,.,10,.,
08/15/1991,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,24,.,
08/16/1991,54,PM10,,17-019-0005,AQS,51,.,16,54,
08/17/1991,35,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,35,.,10,.,
08/18/1991,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,6,.,
08/19/1991,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,7,.,
08/20/1991,35,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,35,.,13,.,
08/21/1991,49,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,49,.,20,.,
08/22/1991,51,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,51,.,27,37,
08/23/1991,49,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,49,.,13,.,
08/24/1991,101,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,101,.,17,.,
08/25/1991,33,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,33,.,
08/26/1991,27,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,27,.,
08/27/1991,38,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,29,.,
08/28/1991,45,PM10,,17-019-0005,AQS,.,.,27,45,
08/29/1991,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,27,.,
08/30/1991,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,27,.,
08/31/1991,39,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,39,.,9,.,
09/01/1991,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,11,.,
09/02/1991,54,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,54,.,23,.,
09/03/1991,37,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,37,.,
09/04/1991,32,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,32,.,4,.,
09/05/1991,36,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,36,.,10,.,
09/06/1991,58,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,58,.,13,.,
09/07/1991,80,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,80,.,27,.,
09/08/1991,51,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,51,.,19,.,
09/09/1991,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,29,.,
09/10/1991,32,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,32,.,4,25,
09/11/1991,37,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,37,.,14,.,
09/12/1991,46,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,46,.,17,.,
09/13/1991,61,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,61,.,9,.,
09/14/1991,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,21,.,
09/15/1991,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,24,41,
09/16/1991,30,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,30,.,10,.,
09/17/1991,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,13,.,
09/18/1991,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,4,.,
09/19/1991,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,11,.,
09/20/1991,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,9,.,
09/21/1991,44,PM10,,17-019-0005,AQS,34,.,21,44,
09/22/1991,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,9,.,
09/23/1991,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,4,.,
09/24/1991,28,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,6,.,
09/25/1991,11,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,11,.,
09/26/1991,27,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,27,.,7,.,
09/27/1991,33,PM10,,17-019-0005,AQS,.,.,16,33,
09/28/1991,16,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,16,.,
09/29/1991,9,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,9,.,
09/30/1991,58,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,58,.,20,.,
10/01/1991,82,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,67,.,82,.,
10/02/1991,27,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,27,.,
10/03/1991,22,PM10,,17-019-0005,AQS,.,.,6,22,
10/04/1991,7,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,7,.,
10/05/1991,10,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,10,.,
10/06/1991,10,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,10,.,
10/07/1991,14,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,14,.,
10/08/1991,43,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,43,.,
10/09/1991,42,PM10,,17-019-0005,AQS,.,.,.,42,
10/12/1991,4,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,4,.,
10/13/1991,20,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,20,.,
10/14/1991,10,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,10,.,
10/15/1991,31,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,31,21,
10/16/1991,13,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,13,.,
10/17/1991,27,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,27,.,
10/18/1991,7,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,7,.,
10/19/1991,0,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,0,.,
10/20/1991,7,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,7,.,
